Weapon,Type,Archetype/Exotic,Concatenated,Energy,Ammo,PvE Approximate DPS,"Total X",RoF / Draw Time / Charge (ms),Crit,Body,"Crit X","Optimal TtK (s)",Shots / Bolts to Kill,"Crit Percent",Crits,Bod Bursts,"Body Shot TtK / Follow up shot TtK","Body Shots to Kill",Bursts / Time Between Shots,Sim TTK 33/33/34%,Sim TTK 60/30/10%,Av. Zoom Stat,Zoom Scaler,Zoom Multiplier,Modified Zoom Multiplier,Base Range Value (Hip),Value Per Range Stat,Effective Hip Fire Range (m),Effective ADS Range (m),Impact / Blast Radius,Range / Accuracy / Velocity,Stability / Shield Duration (Glaive),Handling,"Reload Speed / Charge Rate","Aim Assist","Recoil Direction / Defense / Charge (Glaives)","Mag Size",Airborne Efficacy,Base Zoom / Swing Speed,Archetype Description,BIS Score,Concatenated - Type+Score,Concatenated - Type+Archetype+Score,Weapon Ref,Total BIS Score Modifier,Overall Archetype Adjustment Score,Overall Perk Selection Score,PVP Archetype Adjustment Score,PVP Perk Selection Score,PVE Archetype Adjustment Score,PVE Perk Selection Score,Craftable?,Sunset?,Exotic?,
Syncopation-53,Pulse Rifle,Adaptive,Pulse Rifle Adaptive,Stasis,Primary,2825,1.00,390,31,19,1.60,0.93,7,86%,6,1,2.33,1.47,11,3.67,1.48,0.92,17.00,0.20,1.675,1.875,16.000,0.080,19.68,36.90,29,46,59,46,42,66,79,36,14,19,"""A well-rounded grip, reliable and sturdy."" ",9.4547,Pulse Rifle 9.45465289978208,Pulse Rifle Adaptive 9.45465289978208,Syncopation-53,0.9975,1.00,1.03,0.95,1.05,1.00,1.00,TRUE,FALSE,FALSE,Pulse Rifle Stasis Primary
The Third Axiom,Pulse Rifle,Adaptive,Pulse Rifle Adaptive,Arc,Primary,2825,1.00,390,31,19,1.60,0.93,7,86%,6,1,2.33,1.47,11,3.67,1.48,0.92,17.00,0.10,1.675,2,16.000,0.080,19.92,35.36,29,49,55,47,46,66,74,36,10,18,"""A well-rounded grip, reliable and sturdy."" ",8.6374,Pulse Rifle 8.63736192795081,Pulse Rifle Adaptive 8.63736192795081,The Third Axiom,0.95,1.00,1.00,0.95,1.00,1.00,1.00,FALSE,FALSE,FALSE,Pulse Rifle Arc Primary
Line in the Sand,Linear Fusion Rifle,Precision,Linear Fusion Rifle Precision,Arc,Heavy,14979,1.00,533,497,166,2.99,0.57,1,100%,1,0,-,1.13,2,-,1.00,1.00,25.00,0.00,-,-,-,-,-,-,41,36,48,33,31,60,63,5,0,25,"""Fires a long-range precision energy bolt. This weapon's recoil pattern is more predictably vertical."" ",-,Linear Fusion Rifle -,Linear Fusion Rifle Precision -,Line in the Sand,,,,,,,,FALSE,TRUE,FALSE,
Yesteryear,Pulse Rifle,Adaptive,Pulse Rifle Adaptive,Void,Primary,2825,1.00,390,31,19,1.60,0.93,7,86%,6,1,2.33,1.47,11,3.67,1.48,0.92,17.00,0.00,1.675,1.675,16.000,0.080,19.44,32.56,29,43,48,42,42,59,50,35,17,17,"""A well-rounded grip, reliable and sturdy."" ",8.5171,Pulse Rifle 8.51708806739795,Pulse Rifle Adaptive 8.51708806739795,Yesteryear,0.95,1.00,1.00,0.95,1.00,1.00,1.00,FALSE,FALSE,FALSE,Pulse Rifle Void Primary
Loaded Question,Fusion Rifle,High-Impact,Fusion Rifle High-Impact,Arc,Special,8917,1.00,960,66,66,1.00,1.06,3,0%,0,3,-,1.06,3,-,0.95,0.95,15.00,0.00,1.300,1.3,8.200,0.036,10.25,13.33,95,57,32,32,27,66,77,5,0,15,"""Slow-firing and high-damage. This weapon is more accurate when stationary and aiming down sights."" ",-,Fusion Rifle -,Fusion Rifle High-Impact -,Loaded Question,,,,,,,,FALSE,TRUE,FALSE,
Insidious,Pulse Rifle,Aggressive,Pulse Rifle Aggressive,Arc,Primary,2744,1.00,450,26,15,1.72,0.73,8,88%,7,1,2.00,1.60,13,3.25,1.57,0.95,18.00,0.00,1.675,1.675,16.000,0.080,21.92,36.72,35,74,60,27,34,44,78,40,24,18,"""Hard-hitting four-burst fire."" ",11.7925,Pulse Rifle 11.7925104396734,Pulse Rifle Aggressive 11.7925104396734,Insidious,1.05,1.05,1.05,1.00,1.05,1.10,1.05,TRUE,FALSE,FALSE,Pulse Rifle Arc Primary
Sacred Provenance,Pulse Rifle,Aggressive,Pulse Rifle Aggressive,Kinetic,Primary,2744,1.00,450,26,15,1.72,0.73,8,88%,7,1,2.00,1.60,13,3.25,1.57,0.95,18.00,0.00,1.675,2,16.000,0.080,21.52,36.05,35,69,57,24,36,48,70,40,10,18,"""Hard-hitting four-burst fire."" ",8.9808,Pulse Rifle 8.98075193976805,Pulse Rifle Aggressive 8.98075193976805,Sacred Provenance,1,1.05,1.00,1.00,1.00,1.10,1.00,FALSE,FALSE,FALSE,Pulse Rifle Kinetic Primary
Bad Juju,Pulse Rifle,Bad Juju,Pulse Rifle Bad Juju,Kinetic,Primary,2573,1.00,450,26,16,1.65,0.87,8,88%,7,1,2.67,1.60,13,4.33,1.57,0.97,17.00,0.00,1.675,1.675,16.000,0.080,19.20,32.16,27,40,77,56,47,60,85,27,28,17,See Exotic box below for more information,-,Pulse Rifle -,Pulse Rifle Bad Juju -,Bad Juju,,,,,,,,FALSE,FALSE,TRUE,Pulse Rifle Kinetic Primary
Collective Obligation,Pulse Rifle,Collective Obligation,Pulse Rifle Collective Obligation,Void,Primary,2825,1.00,390,31,19,1.60,0.93,7,86%,6,1,2.33,1.47,11,3.67,1.48,0.92,17.00,0.00,1.675,1.675,16.000,0.080,19.92,33.37,29,49,70,51,56,67,100,36,26,17,"""A well-rounded grip, reliable and sturdy."" ",-,Pulse Rifle -,Pulse Rifle Collective Obligation -,Collective Obligation,,,,,,,,FALSE,FALSE,TRUE,Pulse Rifle Void Primary
Graviton Lance,Pulse Rifle,Graviton Lance,Pulse Rifle Graviton Lance,Void,Primary,2707,1.00,257,36,22,1.62,1.00,6,83%,5,1,3.00,1.87,9,4.50,2.06,1.23,17.00,0.00,1.675,1.675,16.000,0.080,21.60,36.18,29,70,100,49,57,60,85,39,27,17,See Exotic box below for more information,-,Pulse Rifle -,Pulse Rifle Graviton Lance -,Graviton Lance,,,,,,,,FALSE,FALSE,TRUE,Pulse Rifle Void Primary
Cold Denial,Pulse Rifle,High-Impact,Pulse Rifle High-Impact,Kinetic,Primary,2720,1.00,340,35,22,1.60,0.67,6,83%,5,1,2.00,1.20,9,3.00,1.42,0.88,18.00,-0.40,1.675,1,16.000,0.080,20.56,26.21,33,57,44,24,34,32,73,27,10,14,"""Slow-firing and high-damage. This weapon is more accurate when stationary and aiming down sights."" ",9.0821,Pulse Rifle 9.0821181954465,Pulse Rifle High-Impact 9.0821181954465,Cold Denial,1.1,0.95,1.00,1.10,1.00,0.90,1.00,FALSE,FALSE,FALSE,Pulse Rifle Kinetic Primary
Legal Action II,Pulse Rifle,High-Impact,Pulse Rifle High-Impact,Kinetic,Primary,2720,1.00,340,35,22,1.60,0.67,6,83%,5,1,2.00,1.20,9,3.00,1.42,0.88,18.00,0.40,1.675,2,16.000,0.080,20.96,43.49,33,62,48,24,33,32,70,27,10,22,"""Slow-firing and high-damage. This weapon is more accurate when stationary and aiming down sights."" ",8.5298,Pulse Rifle 8.52975291838989,Pulse Rifle High-Impact 8.52975291838989,Legal Action II,0.99,0.95,0.95,1.10,0.90,0.90,1.00,FALSE,FALSE,FALSE,Pulse Rifle Kinetic Primary
New Purpose,Pulse Rifle,High-Impact,Pulse Rifle High-Impact,Stasis,Primary,2720,1.00,340,35,22,1.60,0.67,6,83%,5,1,2.00,1.20,9,3.00,1.42,0.88,18.00,0.00,1.675,1.675,16.000,0.080,21.20,35.51,33,65,54,26,31,32,70,27,19,18,"""Slow-firing and high-damage. This weapon is more accurate when stationary and aiming down sights."" ",10.7184,Pulse Rifle 10.7183928511779,Pulse Rifle High-Impact 10.7183928511779,New Purpose,1.1,0.95,1.00,1.10,1.00,0.90,1.00,FALSE,FALSE,FALSE,Pulse Rifle Stasis Primary
Luna's Howl,Hand Cannon,Adaptive,Hand Cannon Adaptive,Solar,Primary,2724,1.00,139,69,46,1.50,0.87,3,100%,3,0,-,1.73,5,-,1.15,1.15,14.00,0.00,1.375,1.375,16.000,0.096,19.94,27.41,84,41,57,35,54,79,95,10,35,14,"""A well-rounded grip, reliable and sturdy."" ",-,Hand Cannon -,Hand Cannon Adaptive -,Luna's Howl,,,,,,,,FALSE,TRUE,FALSE,
Premonition,Pulse Rifle,High-Impact,Pulse Rifle High-Impact,Void,Primary,2720,1.00,340,35,22,1.60,0.67,6,83%,5,1,2.00,1.20,9,3.00,1.42,0.88,18.00,0.00,1.675,2,16.000,0.080,20.80,34.84,33,60,42,26,33,32,77,27,10,18,"""Slow-firing and high-damage. This weapon is more accurate when stationary and aiming down sights."" ",9.3216,Pulse Rifle 9.32157027464194,Pulse Rifle High-Impact 9.32157027464194,Premonition,1.1,0.95,1.00,1.10,1.00,0.90,1.00,FALSE,FALSE,FALSE,Pulse Rifle Void Primary
Stars in Shadow,Pulse Rifle,High-Impact,Pulse Rifle High-Impact,Solar,Primary,2720,1.00,340,35,22,1.60,0.67,6,83%,5,1,2.00,1.20,9,3.00,1.42,0.88,18.00,0.00,1.675,2,16.000,0.080,20.96,35.11,33,62,43,23,34,28,64,27,10,18,"""Slow-firing and high-damage. This weapon is more accurate when stationary and aiming down sights."" ",9.0391,Pulse Rifle 9.03907075762539,Pulse Rifle High-Impact 9.03907075762539,Stars in Shadow,1.1,0.95,1.00,1.10,1.00,0.90,1.00,FALSE,FALSE,FALSE,Pulse Rifle Solar Primary
The Messenger,Pulse Rifle,High-Impact,Pulse Rifle High-Impact,Kinetic,Primary,2720,1.00,340,35,22,1.60,0.67,6,83%,5,1,2.00,1.20,9,3.00,1.42,0.88,18.00,0.00,1.675,2,16.000,0.080,21.28,35.64,33,66,54,31,38,37,60,30,20,18,"""Slow-firing and high-damage. This weapon is more accurate when stationary and aiming down sights."" ",11.2515,Pulse Rifle 11.2514727500198,Pulse Rifle High-Impact 11.2514727500198,The Messenger,1.1,0.95,1.00,1.10,1.00,0.90,1.00,FALSE,FALSE,FALSE,Pulse Rifle Kinetic Primary
Man o' War,Linear Fusion Rifle,Precision,Linear Fusion Rifle Precision,Solar,Heavy,14979,1.00,533,497,166,2.99,0.57,1,100%,1,0,-,1.13,2,-,1.00,1.00,25.00,0.00,-,-,-,-,-,-,41,55,47,30,28,61,60,4,0,25,"""Fires a long-range precision energy bolt. This weapon's recoil pattern is more predictably vertical."" ",-,Linear Fusion Rifle -,Linear Fusion Rifle Precision -,Man o' War,,,,,,,,FALSE,TRUE,FALSE,
Martyr's Retribution,Grenade Launcher,Wave,Grenade Launcher Wave,Solar,Special,6241,-,72,-,-,-,-,1,0%,0,1,-,-,1,-,0.90,1.00,-,-,-,-,-,-,-,-,55,76,32,69,67,72,75,1,0,13,"""One-shot handheld Grenade Launcher. Projectiles release a wave of energy when they contact the ground."" ",-,Grenade Launcher -,Grenade Launcher Wave -,Martyr's Retribution,,,,,,,,FALSE,TRUE,FALSE,
BxR-55 Battler,Pulse Rifle,Legacy PR-55,Pulse Rifle Legacy PR-55,Solar,Primary,2573,1.00,450,26,16,1.65,0.87,8,88%,7,1,2.67,1.60,13,4.33,1.57,0.97,20.00,0.00,1.675,1.675,16.000,0.080,20.00,33.50,27,50,59,71,63,85,70,36,10,20,"""Customized frame with dramactically increased accuracy, stability and targeting while firing from the hip."" ",9.5888,Pulse Rifle 9.58884502368654,Pulse Rifle Legacy PR-55 9.58884502368654,BxR-55 Battler,1.1025,1.00,1.05,1.05,1.05,1.00,1.05,TRUE,FALSE,FALSE,Pulse Rifle Solar Primary
Chattering Bone,Pulse Rifle,Lightweight,Pulse Rifle Lightweight,Kinetic,Primary,2573,1.00,450,26,16,1.65,0.87,8,88%,7,1,2.67,1.60,13,4.33,1.57,0.97,18.00,-0.10,1.675,2,16.000,0.080,18.64,29.36,27,33,52,70,63,71,57,33,10,17,"""Superb handling. Move faster with this weapon equipped."" ",7.7998,Pulse Rifle 7.79983436844858,Pulse Rifle Lightweight 7.79983436844858,Chattering Bone,0.855,1.00,0.95,0.95,0.90,1.00,1.00,FALSE,FALSE,FALSE,Pulse Rifle Kinetic Primary
Ogma PR6,Pulse Rifle,Lightweight,Pulse Rifle Lightweight,Solar,Primary,2573,1.00,450,26,16,1.65,0.87,8,88%,7,1,2.67,1.60,13,4.33,1.57,0.97,18.00,0.10,1.675,1.775,16.000,0.080,19.04,33.80,27,38,52,70,55,73,55,32,15,19,"""Superb handling. Move faster with this weapon equipped."" ",8.6035,Pulse Rifle 8.60351167580051,Pulse Rifle Lightweight 8.60351167580051,Ogma PR6,0.855,1.00,0.95,0.95,0.90,1.00,1.00,FALSE,FALSE,FALSE,Pulse Rifle Solar Primary
No Time To Explain,Pulse Rifle,No Time To Explain,Pulse Rifle No Time To Explain,Kinetic,Primary,3687,1.00,340,35,22,1.60,0.67,6,83%,5,1,2.00,1.20,9,3.00,1.42,0.88,17.00,0.00,1.675,1.675,16.000,0.080,22.40,37.52,33,80,60,57,60,45,90,24,24,17,See Exotic box below for more information,-,Pulse Rifle -,Pulse Rifle No Time To Explain -,No Time To Explain,,,,,,,,FALSE,FALSE,TRUE,Pulse Rifle Kinetic Primary
Outbreak Perfected,Pulse Rifle,Outbreak Perfected,Pulse Rifle Outbreak Perfected,Kinetic,Primary,2549,1.00,450,26,16,1.65,0.87,8,88%,7,1,2.67,1.60,13,4.33,1.57,0.97,17.00,0.00,1.675,1.675,16.000,0.080,21.12,35.38,27,64,40,35,45,65,90,33,29,17,See Exotic box below for more information,-,Pulse Rifle -,Pulse Rifle Outbreak Perfected -,Outbreak Perfected,,,,,,,,FALSE,FALSE,TRUE,Pulse Rifle Kinetic Primary
Darkest Before,Pulse Rifle,Rapid-Fire,Pulse Rifle Rapid-Fire,Arc,Primary,2771,1.00,540,24,14,1.70,0.80,9,78%,7,2,3.00,1.40,14,4.67,1.48,0.93,17.00,0.00,1.675,2,16.000,0.080,18.72,31.36,23,34,48,27,35,75,64,36,10,17,"""Deeper ammo reserves. Slightly faster reload when magazine is empty."" ",9.1251,Pulse Rifle 9.12510757271325,Pulse Rifle Rapid-Fire 9.12510757271325,Darkest Before,1.05,1.05,1.00,1.05,1.00,1.05,1.00,FALSE,FALSE,FALSE,Pulse Rifle Arc Primary
Gridskipper,Pulse Rifle,Rapid-Fire,Pulse Rifle Rapid-Fire,Void,Primary,2771,1.00,540,24,14,1.70,0.80,9,78%,7,2,3.00,1.40,14,4.67,1.48,0.93,17.00,0.10,1.675,2,16.000,0.080,18.64,33.09,23,33,47,27,35,80,55,33,10,18,"""Deeper ammo reserves. Slightly faster reload when magazine is empty."" ",9.0665,Pulse Rifle 9.06651649842442,Pulse Rifle Rapid-Fire 9.06651649842442,Gridskipper,1.05,1.05,0.95,1.05,1.00,1.05,0.90,FALSE,FALSE,FALSE,Pulse Rifle Void Primary
Misfit,Auto Rifle,Rapid-Fire,Auto Rifle Rapid-Fire,Arc,Primary,3906,1.00,720,20,13,1.50,0.77,10,90%,9,1,-,1.17,15,-,1.10,1.10,16.00,0.00,1.575,1.575,10.800,0.107,14.55,22.91,18,35,58,47,53,76,54,51,0,16,"""Deeper ammo reserves. Slightly faster reload when magazine is empty."" ",-,Auto Rifle -,Auto Rifle Rapid-Fire -,Misfit,,,,,,,,FALSE,TRUE,FALSE,
Horror's Least,Pulse Rifle,Rapid-Fire,Pulse Rifle Rapid-Fire,Arc,Primary,2771,1.00,540,24,14,1.70,0.80,9,78%,7,2,3.00,1.40,14,4.67,1.48,0.93,17.00,0.00,1.675,1.675,16.000,0.080,18.72,31.36,23,34,49,22,35,82,55,36,17,17,"""Deeper ammo reserves. Slightly faster reload when magazine is empty."" ",9.7492,Pulse Rifle 9.74922028716763,Pulse Rifle Rapid-Fire 9.74922028716763,Horror's Least,1.05,1.05,0.95,1.05,1.00,1.05,0.90,FALSE,FALSE,FALSE,Pulse Rifle Arc Primary
Mos Epoch III,Rocket Launcher,Aggressive,Rocket Launcher Aggressive,Arc,Heavy,15805,-,25,-,-,-,-,1,0%,0,1,-,-,1,-,0.95,1.00,-,-,-,-,-,-,-,-,55,76,29,26,57,32,54,1,0,20,"""High damage, high recoil."" ",-,Rocket Launcher -,Rocket Launcher Aggressive -,Mos Epoch III,,,,,,,,FALSE,TRUE,FALSE,
Jurassic Green,Pulse Rifle,Rapid-Fire,Pulse Rifle Rapid-Fire,Solar,Primary,2771,1.00,540,24,14,1.70,0.80,9,78%,7,2,3.00,1.40,14,4.67,1.48,0.93,17.00,0.00,1.675,2,16.000,0.080,18.16,30.42,23,27,41,19,27,76,50,36,10,17,"""Deeper ammo reserves. Slightly faster reload when magazine is empty."" ",7.3378,Pulse Rifle 7.33783891470772,Pulse Rifle Rapid-Fire 7.33783891470772,Jurassic Green,0.945,1.05,0.95,1.05,0.90,1.05,1.00,FALSE,FALSE,FALSE,Pulse Rifle Solar Primary
Nameless Midnight,Scout Rifle,Precision,Scout Rifle Precision,Kinetic,Primary,3015,1.00,180,61,38,1.60,1.00,4,50%,2,2,-,1.67,6,-,0.95,1.00,20.00,0.00,1.975,1.975,29.200,0.169,36.97,73.02,62,46,44,47,50,62,79,16,0,20,"""This weapon's recoil pattern is more predictably vertical."" ",-,Scout Rifle -,Scout Rifle Precision -,Nameless Midnight,,,,,,,,FALSE,TRUE,FALSE,
Piece of Mind,Pulse Rifle,Rapid-Fire,Pulse Rifle Rapid-Fire,Kinetic,Primary,2771,1.00,540,24,14,1.70,0.80,9,78%,7,2,3.00,1.40,14,4.67,1.48,0.93,17.00,0.20,1.675,1.875,16.000,0.080,19.04,35.70,23,38,51,34,39,82,58,35,17,19,"""Deeper ammo reserves. Slightly faster reload when magazine is empty."" ",11.0653,Pulse Rifle 11.0653426107611,Pulse Rifle Rapid-Fire 11.0653426107611,Piece of Mind,1.1025,1.05,1.05,1.05,1.05,1.05,1.05,TRUE,FALSE,FALSE,Pulse Rifle Kinetic Primary
The Time-Worn Spire,Pulse Rifle,Rapid-Fire,Pulse Rifle Rapid-Fire,Kinetic,Primary,2771,1.00,540,24,14,1.70,0.80,9,78%,7,2,3.00,1.40,14,4.67,1.48,0.93,17.00,0.00,1.675,2,16.000,0.080,18.64,31.22,23,33,54,33,37,79,60,36,10,17,"""Deeper ammo reserves. Slightly faster reload when magazine is empty."" ",9.4878,Pulse Rifle 9.48777909773935,Pulse Rifle Rapid-Fire 9.48777909773935,The Time-Worn Spire,1.05,1.05,1.00,1.05,1.00,1.05,1.00,FALSE,FALSE,FALSE,Pulse Rifle Kinetic Primary
Vigilance Wing,Pulse Rifle,Vigilance Wing,Pulse Rifle Vigilance Wing,Kinetic,Primary,3602,1.00,530,21,14,1.47,0.83,10,70%,7,3,2.00,1.33,14,2.80,1.58,1.00,17.00,0.00,1.675,1.675,16.000,0.080,21.20,35.51,33,65,70,43,40,60,79,50,21,17,See Exotic box below for more information,-,Pulse Rifle -,Pulse Rifle Vigilance Wing -,Vigilance Wing,,,,,,,,FALSE,FALSE,TRUE,Pulse Rifle Kinetic Primary
Apex Predator,Rocket Launcher,Adaptive,Rocket Launcher Adaptive,Solar,Heavy,15805,-,20,-,-,-,-,1,0%,0,1,-,-,1,-,-,-,-,-,-,-,-,-,0,0,50,49,43,44,44,68,61,1,3,20,"""A well-rounded grip, reliable and sturdy."" ",6.5028,Rocket Launcher 6.50280116769847,Rocket Launcher Adaptive 6.50280116769847,Apex Predator,0.855,0.95,0.90,0.95,0.90,1.00,0.90,FALSE,FALSE,FALSE,Rocket Launcher Solar Heavy
Hoosegow,Rocket Launcher,Adaptive,Rocket Launcher Adaptive,Arc,Heavy,15805,-,20,-,-,-,-,1,0%,0,1,-,-,1,-,-,-,-,-,-,-,-,-,0,0,50,53,41,38,44,63,80,1,3,20,"""A well-rounded grip, reliable and sturdy."" ",7.1982,Rocket Launcher 7.19815166992296,Rocket Launcher Adaptive 7.19815166992296,Hoosegow,0.95,0.95,1.00,0.95,1.00,1.00,1.00,FALSE,FALSE,FALSE,Rocket Launcher Arc Heavy
Red Herring,Rocket Launcher,Adaptive,Rocket Launcher Adaptive,Void,Heavy,15805,-,20,-,-,-,-,1,0%,0,1,-,-,1,-,-,-,-,-,-,-,-,-,0,0,50,53,42,40,42,62,66,1,3,20,"""A well-rounded grip, reliable and sturdy."" ",7.1102,Rocket Launcher 7.11016160533885,Rocket Launcher Adaptive 7.11016160533885,Red Herring,0.95,0.95,1.03,0.95,1.00,1.00,1.05,TRUE,FALSE,FALSE,Rocket Launcher Void Heavy
Shining Sphere,Rocket Launcher,Adaptive,Rocket Launcher Adaptive,Arc,Heavy,15805,-,20,-,-,-,-,1,0%,0,1,-,-,1,-,-,-,-,-,-,-,-,-,0,0,50,49,39,39,39,58,60,1,3,20,"""A well-rounded grip, reliable and sturdy."" ",6.1259,Rocket Launcher 6.12594515474165,Rocket Launcher Adaptive 6.12594515474165,Shining Sphere,0.855,0.95,0.95,0.95,0.90,1.00,1.00,FALSE,FALSE,FALSE,Rocket Launcher Arc Heavy
Nightshade,Pulse Rifle,Lightweight,Pulse Rifle Lightweight,Kinetic,Primary,2573,1.00,450,26,16,1.65,0.87,8,88%,7,1,2.67,1.60,13,4.33,0.95,1.00,18.00,-0.10,1.675,2,16.000,0.080,19.20,30.24,27,40,59,69,62,68,56,30,0,17,"""Superb handling. Move faster with this weapon equipped."" ",-,Pulse Rifle -,Pulse Rifle Lightweight -,Nightshade,,,,,,,,FALSE,TRUE,FALSE,
No Feelings,Scout Rifle,Precision,Scout Rifle Precision,Arc,Primary,3015,1.00,180,61,38,1.60,1.00,4,50%,2,2,-,1.67,6,-,0.95,1.00,20.00,0.00,1.975,1.975,29.200,0.169,37.99,75.03,62,52,49,46,49,66,76,15,0,20,"""This weapon's recoil pattern is more predictably vertical."" ",-,Scout Rifle -,Scout Rifle Precision -,No Feelings,,,,,,,,FALSE,TRUE,FALSE,
The Hothead,Rocket Launcher,Adaptive,Rocket Launcher Adaptive,Arc,Heavy,15805,-,20,-,-,-,-,1,0%,0,1,-,-,1,-,-,-,-,-,-,-,-,-,0,0,50,57,40,47,45,67,75,1,8,20,"""A well-rounded grip, reliable and sturdy."" ",9.1320,Rocket Launcher 9.13195024223002,Rocket Launcher Adaptive 9.13195024223002,The Hothead,0.95,0.95,1.00,0.95,1.00,1.00,1.00,FALSE,FALSE,FALSE,Rocket Launcher Arc Heavy
Bad Omens,Rocket Launcher,Aggressive,Rocket Launcher Aggressive,Void,Heavy,15805,-,25,-,-,-,-,1,0%,0,1,-,-,1,-,-,-,-,-,-,-,-,-,0,0,20,72,27,20,61,34,76,1,3,20,"""High damage, high recoil."" ",7.1100,Rocket Launcher 7.10998507575228,Rocket Launcher Aggressive 7.10998507575228,Bad Omens,0.95,1.00,1.00,0.95,1.00,1.00,1.00,FALSE,FALSE,FALSE,Rocket Launcher Void Heavy
No Turning Back,Combat Bow,Precision,Combat Bow Precision,Kinetic,Primary,3215,1.00,667,151,101,1.50,-,2,0%,0,2,-,-,2,-,1.20,1.00,-,-,-,-,-,-,-,-,76,78,53,59,46,66,0,1,0,18,"""Compound Bow. Longer draw time optimized for damage."" ",-,Combat Bow -,Combat Bow Precision -,No Turning Back,,,,,,,,FALSE,TRUE,FALSE,
Not Forgotten,Hand Cannon,Adaptive,Hand Cannon Adaptive,Solar,Primary,2724,1.00,139,69,46,1.50,0.87,3,100%,3,0,-,1.73,5,-,1.15,1.15,14.00,0.00,1.375,1.375,16.000,0.096,19.94,27.41,84,41,57,35,54,79,95,10,35,14,"""A well-rounded grip, reliable and sturdy."" ",-,Hand Cannon -,Hand Cannon Adaptive -,Not Forgotten,,,,,,,,FALSE,TRUE,FALSE,
Bump in the Night,Rocket Launcher,Aggressive,Rocket Launcher Aggressive,Stasis,Heavy,15805,-,25,-,-,-,-,1,0%,0,1,-,-,1,-,-,-,-,-,-,-,-,-,0,0,20,69,23,19,58,33,74,1,7,20,"""High damage, high recoil."" ",8.3960,Rocket Launcher 8.39596672823637,Rocket Launcher Aggressive 8.39596672823637,Bump in the Night,0.9975,1.00,1.05,0.95,1.05,1.00,1.05,TRUE,FALSE,FALSE,Rocket Launcher Stasis Heavy
Heretic,Rocket Launcher,Aggressive,Rocket Launcher Aggressive,Arc,Heavy,15805,-,25,-,-,-,-,1,0%,0,1,-,-,1,-,-,-,-,-,-,-,-,-,0,0,20,79,26,23,58,29,68,1,3,20,"""High damage, high recoil."" ",7.0491,Rocket Launcher 7.04914268097884,Rocket Launcher Aggressive 7.04914268097884,Heretic,0.95,1.00,0.95,0.95,1.00,1.00,0.90,FALSE,FALSE,FALSE,Rocket Launcher Arc Heavy
Hezen Vengeance,Rocket Launcher,Aggressive,Rocket Launcher Aggressive,Solar,Heavy,15805,-,25,-,-,-,-,1,0%,0,1,-,-,1,-,-,-,-,-,-,-,-,-,0,0,20,79,29,23,60,35,65,1,3,20,"""High damage, high recoil."" ",7.3243,Rocket Launcher 7.32425660952864,Rocket Launcher Aggressive 7.32425660952864,Hezen Vengeance,0.95,1.00,1.00,0.95,1.00,1.00,1.00,FALSE,FALSE,FALSE,Rocket Launcher Solar Heavy
Deathbringer,Rocket Launcher,Deathbringer,Rocket Launcher Deathbringer,Void,Heavy,31129,-,15,-,-,-,-,1,0%,0,1,-,-,1,-,-,-,-,-,-,-,-,-,0,0,100,35,53,66,63,72,58,1,3,20,See Exotic box below for more information,-,Rocket Launcher -,Rocket Launcher Deathbringer -,Deathbringer,,,,,,,,FALSE,FALSE,TRUE,Rocket Launcher Void Heavy
Eyes of Tomorrow,Rocket Launcher,Eyes of Tomorrow,Rocket Launcher Eyes of Tomorrow,Solar,Heavy,15401,-,20,-,-,-,-,1,0%,0,1,-,-,1,-,-,-,-,-,-,-,-,-,0,0,50,57,82,49,76,68,75,1,7,20,See Exotic box below for more information,-,Rocket Launcher -,Rocket Launcher Eyes of Tomorrow -,Eyes of Tomorrow,,,,,,,,FALSE,FALSE,TRUE,Rocket Launcher Solar Heavy
Gjallarhorn,Rocket Launcher,Gjallarhorn,Rocket Launcher Gjallarhorn,Solar,Heavy,23312,-,15,-,-,-,-,1,0%,0,1,-,-,1,-,-,-,-,-,-,-,-,-,0,0,100,40,54,76,67,76,49,1,6,20,See Exotic box below for more information,-,Rocket Launcher -,Rocket Launcher Gjallarhorn -,Gjallarhorn,,,,,,,,FALSE,FALSE,TRUE,Rocket Launcher Solar Heavy
Optative,Hand Cannon,Precision,Hand Cannon Precision,Void,Primary,2865,1.00,180,60,40,1.50,1.00,4,50%,2,2,-,1.33,5,-,0.95,1.00,14.00,0.00,1.375,1.375,16.000,0.096,19.94,27.41,78,41,60,33,58,67,97,9,0,14,"""Recoil pattern on this weapon is more predictably vertical. Fires quickly with high accuracy."" ",-,Hand Cannon -,Hand Cannon Precision -,Optative,,,,,,,,FALSE,TRUE,FALSE,
Code Duello,Rocket Launcher,High-Impact,Rocket Launcher High-Impact,Solar,Heavy,14368,-,15,-,-,-,-,1,0%,0,1,-,-,1,-,-,-,-,-,-,-,-,-,0,0,90,42,58,69,35,62,52,1,3,20,"""Slow-firing and high-damage. This weapon is more accurate when stationary and aiming down sights."" ",7.3511,Rocket Launcher 7.35109794941807,Rocket Launcher High-Impact 7.35109794941807,Code Duello,1,1.00,1.00,1.00,1.00,1.00,1.00,FALSE,FALSE,FALSE,Rocket Launcher Solar Heavy
